CG beads number:   49,  the thread number:   16
thread:  0,  CNa = 1000.000000,  CMg = 0.000000, t0 = 25.000000
thread:  14,  CNa = 1000.000000,  CMg = 0.000000, t0 = 130.000000
thread:  2,  CNa = 1000.000000,  CMg = 0.000000, t0 = 37.000000
thread:  8,  CNa = 1000.000000,  CMg = 0.000000, t0 = 78.000000
thread:  7,  CNa = 1000.000000,  CMg = 0.000000, t0 = 71.000000
thread:  15,  CNa = 1000.000000,  CMg = 0.000000, t0 = 0.000000
thread:  9,  CNa = 1000.000000,  CMg = 0.000000, t0 = 86.000000
thread:  13,  CNa = 1000.000000,  CMg = 0.000000, t0 = 120.000000
thread:  1,  CNa = 1000.000000,  CMg = 0.000000, t0 = 31.000000
thread:  4,  CNa = 1000.000000,  CMg = 0.000000, t0 = 49.000000
thread:  3,  CNa = 1000.000000,  CMg = 0.000000, t0 = 43.000000
thread:  10,  CNa = 1000.000000,  CMg = 0.000000, t0 = 94.000000
thread:  11,  CNa = 1000.000000,  CMg = 0.000000, t0 = 102.000000
thread:  5,  CNa = 1000.000000,  CMg = 0.000000, t0 = 55.000000
thread:  12,  CNa = 1000.000000,  CMg = 0.000000, t0 = 110.000000
thread:  6,  CNa = 1000.000000,  CMg = 0.000000, t0 = 63.000000
thread: 5,  step:  1000,     T: 55.0,    Energy: 172.286514 kcal/mol
thread: 3,  step:  1000,     T: 43.0,    Energy: 136.807388 kcal/mol
thread: 11,  step:  1000,     T:102.0,    Energy: 111.375412 kcal/mol
thread: 8,  step:  1000,     T: 78.0,    Energy: 105.436302 kcal/mol
thread: 4,  step:  1000,     T: 49.0,    Energy: 182.230728 kcal/mol
thread: 2,  step:  1000,     T: 37.0,    Energy: 152.619736 kcal/mol
thread: 7,  step:  1000,     T: 71.0,    Energy: 168.786972 kcal/mol
thread: 12,  step:  1000,     T:110.0,    Energy: 117.503983 kcal/mol
thread: 14,  step:  1000,     T:130.0,    Energy: 146.279861 kcal/mol
thread: 0,  step:  1000,     T: 25.0,    Energy: 125.405983 kcal/mol
thread: 6,  step:  1000,     T: 63.0,    Energy: 112.691536 kcal/mol
thread: 9,  step:  1000,     T: 86.0,    Energy: 104.424019 kcal/mol
thread: 13,  step:  1000,     T:120.0,    Energy: 112.868065 kcal/mol
thread: 1,  step:  1000,     T: 31.0,    Energy: 130.000504 kcal/mol
thread: 15,  step:  1000,     T:  0.0,    Energy: 157.361511 kcal/mol
thread: 10,  step:  1000,     T: 94.0,    Energy: 113.766937 kcal/mol
thread: 5,  step:  2000,     T: 55.0,    Energy: 160.502426 kcal/mol
thread: 3,  step:  2000,     T: 43.0,    Energy: 119.709587 kcal/mol
thread: 8,  step:  2000,     T: 78.0,    Energy: 102.879845 kcal/mol
thread: 11,  step:  2000,     T:102.0,    Energy: 109.170761 kcal/mol
thread: 14,  step:  2000,     T:130.0,    Energy: 128.569382 kcal/mol
thread: 0,  step:  2000,     T: 25.0,    Energy: 121.204231 kcal/mol
thread: 12,  step:  2000,     T:110.0,    Energy: 130.275848 kcal/mol
thread: 4,  step:  2000,     T: 49.0,    Energy: 151.380112 kcal/mol
thread: 2,  step:  2000,     T: 37.0,    Energy: 144.144226 kcal/mol
thread: 6,  step:  2000,     T: 63.0,    Energy: 104.757950 kcal/mol
thread: 9,  step:  2000,     T: 86.0,    Energy: 93.770966 kcal/mol
thread: 13,  step:  2000,     T:120.0,    Energy: 132.863983 kcal/mol
thread: 7,  step:  2000,     T: 71.0,    Energy: 166.634857 kcal/mol
thread: 1,  step:  2000,     T: 31.0,    Energy: 114.846062 kcal/mol
thread: 10,  step:  2000,     T: 94.0,    Energy: 109.897217 kcal/mol
thread: 15,  step:  2000,     T:  0.0,    Energy: 140.785477 kcal/mol
thread: 11,  step:  3000,     T:102.0,    Energy: 100.975815 kcal/mol
thread: 14,  step:  3000,     T:130.0,    Energy: 131.655182 kcal/mol
thread: 5,  step:  3000,     T: 55.0,    Energy: 153.333527 kcal/mol
thread: 0,  step:  3000,     T: 25.0,    Energy: 120.035934 kcal/mol
thread: 3,  step:  3000,     T: 43.0,    Energy: 121.782951 kcal/mol
thread: 8,  step:  3000,     T: 78.0,    Energy: 100.487152 kcal/mol
thread: 2,  step:  3000,     T: 37.0,    Energy: 125.161751 kcal/mol
thread: 4,  step:  3000,     T: 49.0,    Energy: 141.144760 kcal/mol
thread: 12,  step:  3000,     T:110.0,    Energy: 112.394287 kcal/mol
thread: 11,  step:  4000,     T:102.0,    Energy: 106.518982 kcal/mol
thread: 6,  step:  3000,     T: 63.0,    Energy: 92.472015 kcal/mol
thread: 13,  step:  3000,     T:120.0,    Energy: 123.540237 kcal/mol
thread: 9,  step:  3000,     T: 86.0,    Energy: 119.953644 kcal/mol
thread: 1,  step:  3000,     T: 31.0,    Energy: 116.518990 kcal/mol
thread: 7,  step:  3000,     T: 71.0,    Energy: 156.025955 kcal/mol
thread: 10,  step:  3000,     T: 94.0,    Energy: 102.676689 kcal/mol
thread: 15,  step:  3000,     T:  0.0,    Energy: 141.623535 kcal/mol
thread: 14,  step:  4000,     T:130.0,    Energy: 121.404388 kcal/mol
thread: 2,  step:  4000,     T: 37.0,    Energy: 134.872269 kcal/mol
thread: 4,  step:  4000,     T: 49.0,    Energy: 136.524887 kcal/mol
thread: 5,  step:  4000,     T: 55.0,    Energy: 150.486023 kcal/mol
thread: 8,  step:  4000,     T: 78.0,    Energy: 103.124336 kcal/mol
thread: 12,  step:  4000,     T:110.0,    Energy: 111.252983 kcal/mol
thread: 0,  step:  4000,     T: 25.0,    Energy: 118.348770 kcal/mol
thread: 11,  step:  5000,     T:102.0,    Energy: 98.483002 kcal/mol
thread: 3,  step:  4000,     T: 43.0,    Energy: 115.383553 kcal/mol
thread: 2,  step:  5000,     T: 37.0,    Energy: 124.745422 kcal/mol
thread: 6,  step:  4000,     T: 63.0,    Energy: 96.407295 kcal/mol
thread: 1,  step:  4000,     T: 31.0,    Energy: 108.244026 kcal/mol
thread: 13,  step:  4000,     T:120.0,    Energy: 118.528023 kcal/mol
thread: 9,  step:  4000,     T: 86.0,    Energy: 110.805412 kcal/mol
thread: 4,  step:  5000,     T: 49.0,    Energy: 135.812592 kcal/mol
thread: 7,  step:  4000,     T: 71.0,    Energy: 139.529877 kcal/mol
thread: 10,  step:  4000,     T: 94.0,    Energy: 93.183525 kcal/mol
thread: 15,  step:  4000,     T:  0.0,    Energy: 133.223068 kcal/mol
thread: 12,  step:  5000,     T:110.0,    Energy: 126.563721 kcal/mol
thread: 14,  step:  5000,     T:130.0,    Energy: 121.177711 kcal/mol
thread: 11,  step:  6000,     T:102.0,    Energy: 123.585640 kcal/mol
thread: 5,  step:  5000,     T: 55.0,    Energy: 152.000122 kcal/mol
thread: 8,  step:  5000,     T: 78.0,    Energy: 99.248230 kcal/mol
thread: 0,  step:  5000,     T: 25.0,    Energy: 116.326813 kcal/mol
thread: 3,  step:  5000,     T: 43.0,    Energy: 118.227386 kcal/mol
thread: 2,  step:  6000,     T: 37.0,    Energy: 129.495956 kcal/mol
thread: 4,  step:  6000,     T: 49.0,    Energy: 134.082489 kcal/mol
thread: 6,  step:  5000,     T: 63.0,    Energy: 91.027679 kcal/mol
thread: 11,  step:  7000,     T:102.0,    Energy: 113.897560 kcal/mol
thread: 12,  step:  6000,     T:110.0,    Energy: 124.245728 kcal/mol
thread: 1,  step:  5000,     T: 31.0,    Energy: 103.023476 kcal/mol
thread: 13,  step:  5000,     T:120.0,    Energy: 109.293976 kcal/mol
thread: 9,  step:  5000,     T: 86.0,    Energy: 109.014481 kcal/mol
thread: 7,  step:  5000,     T: 71.0,    Energy: 133.756775 kcal/mol
thread: 15,  step:  5000,     T:  0.0,    Energy: 136.266251 kcal/mol
thread: 10,  step:  5000,     T: 94.0,    Energy: 95.608734 kcal/mol
thread: 14,  step:  6000,     T:130.0,    Energy: 120.251999 kcal/mol
thread: 5,  step:  6000,     T: 55.0,    Energy: 148.285660 kcal/mol
thread: 8,  step:  6000,     T: 78.0,    Energy: 95.654938 kcal/mol
thread: 4,  step:  7000,     T: 49.0,    Energy: 127.779999 kcal/mol
thread: 6,  step:  6000,     T: 63.0,    Energy: 81.088425 kcal/mol
thread: 2,  step:  7000,     T: 37.0,    Energy: 124.956375 kcal/mol
thread: 0,  step:  6000,     T: 25.0,    Energy: 120.537666 kcal/mol
thread: 11,  step:  8000,     T:102.0,    Energy: 104.848045 kcal/mol
thread: 3,  step:  6000,     T: 43.0,    Energy: 111.138649 kcal/mol
thread: 13,  step:  6000,     T:120.0,    Energy: 103.022110 kcal/mol
thread: 12,  step:  7000,     T:110.0,    Energy: 129.816483 kcal/mol
thread: 1,  step:  6000,     T: 31.0,    Energy: 99.856766 kcal/mol
thread: 9,  step:  6000,     T: 86.0,    Energy: 100.523918 kcal/mol
thread: 7,  step:  6000,     T: 71.0,    Energy: 141.933090 kcal/mol
thread: 10,  step:  6000,     T: 94.0,    Energy: 95.117599 kcal/mol
thread: 15,  step:  6000,     T:  0.0,    Energy: 140.313416 kcal/mol
thread: 14,  step:  7000,     T:130.0,    Energy: 124.474998 kcal/mol
thread: 4,  step:  8000,     T: 49.0,    Energy: 129.052963 kcal/mol
thread: 11,  step:  9000,     T:102.0,    Energy: 100.446236 kcal/mol
thread: 5,  step:  7000,     T: 55.0,    Energy: 147.734283 kcal/mol
thread: 8,  step:  7000,     T: 78.0,    Energy: 93.417450 kcal/mol
thread: 6,  step:  7000,     T: 63.0,    Energy: 88.397888 kcal/mol
thread: 13,  step:  7000,     T:120.0,    Energy: 105.525909 kcal/mol
thread: 2,  step:  8000,     T: 37.0,    Energy: 126.750435 kcal/mol
thread: 0,  step:  7000,     T: 25.0,    Energy: 110.897713 kcal/mol
thread: 3,  step:  7000,     T: 43.0,    Energy: 105.421165 kcal/mol
thread: 4,  step:  9000,     T: 49.0,    Energy: 125.387100 kcal/mol
thread: 15,  step:  7000,     T:  0.0,    Energy: 130.719193 kcal/mol
thread: 11,  step: 10000,     T:102.0,    Energy: 103.446732 kcal/mol
thread: 9,  step:  7000,     T: 86.0,    Energy: 105.361076 kcal/mol
thread: 7,  step:  7000,     T: 71.0,    Energy: 136.231064 kcal/mol
thread: 12,  step:  8000,     T:110.0,    Energy: 130.309052 kcal/mol
thread: 1,  step:  7000,     T: 31.0,    Energy: 95.706284 kcal/mol
thread: 10,  step:  7000,     T: 94.0,    Energy: 109.094391 kcal/mol
thread: 14,  step:  8000,     T:130.0,    Energy: 120.341232 kcal/mol
thread: 5,  step:  8000,     T: 55.0,    Energy: 146.789078 kcal/mol
thread: 8,  step:  8000,     T: 78.0,    Energy: 102.715385 kcal/mol
thread: 6,  step:  8000,     T: 63.0,    Energy: 85.372795 kcal/mol
thread: 2,  step:  9000,     T: 37.0,    Energy: 122.258980 kcal/mol
thread: 13,  step:  8000,     T:120.0,    Energy: 106.828613 kcal/mol
thread: 4,  step: 10000,     T: 49.0,    Energy: 122.963058 kcal/mol
thread: 0,  step:  8000,     T: 25.0,    Energy: 103.087662 kcal/mol
thread: 15,  step:  8000,     T:  0.0,    Energy: 134.404190 kcal/mol
thread: 11,  step: 11000,     T:102.0,    Energy: 87.778458 kcal/mol
thread: 7,  step:  8000,     T: 71.0,    Energy: 133.632660 kcal/mol
thread: 3,  step:  8000,     T: 43.0,    Energy: 104.534081 kcal/mol
thread: 9,  step:  8000,     T: 86.0,    Energy: 97.442398 kcal/mol
thread: 12,  step:  9000,     T:110.0,    Energy: 121.561485 kcal/mol
thread: 1,  step:  8000,     T: 31.0,    Energy: 95.787064 kcal/mol
thread: 10,  step:  8000,     T: 94.0,    Energy: 101.584831 kcal/mol
thread: 14,  step:  9000,     T:130.0,    Energy: 120.456261 kcal/mol
thread: 4,  step: 11000,     T: 49.0,    Energy: 84.315498 kcal/mol
thread: 11,  step: 12000,     T:102.0,    Energy: 79.884483 kcal/mol
thread: 15,  step:  9000,     T:  0.0,    Energy: 134.201813 kcal/mol
thread: 7,  step:  9000,     T: 71.0,    Energy: 120.938072 kcal/mol
thread: 5,  step:  9000,     T: 55.0,    Energy: 147.131607 kcal/mol
thread: 6,  step:  9000,     T: 63.0,    Energy: 78.259315 kcal/mol
thread: 8,  step:  9000,     T: 78.0,    Energy: 96.630234 kcal/mol
thread: 2,  step: 10000,     T: 37.0,    Energy: 119.342567 kcal/mol
thread: 13,  step:  9000,     T:120.0,    Energy: 104.508102 kcal/mol
thread: 0,  step:  9000,     T: 25.0,    Energy: 109.839783 kcal/mol
thread: 3,  step:  9000,     T: 43.0,    Energy: 105.260918 kcal/mol
thread: 11,  step: 13000,     T:102.0,    Energy: 76.164253 kcal/mol
thread: 12,  step: 10000,     T:110.0,    Energy: 115.697342 kcal/mol
thread: 7,  step: 10000,     T: 71.0,    Energy: 124.497383 kcal/mol
thread: 9,  step:  9000,     T: 86.0,    Energy: 98.008011 kcal/mol
thread: 10,  step:  9000,     T: 94.0,    Energy: 101.759895 kcal/mol
thread: 14,  step: 10000,     T:130.0,    Energy: 121.639580 kcal/mol
thread: 1,  step:  9000,     T: 31.0,    Energy: 107.329971 kcal/mol
thread: 4,  step: 12000,     T: 49.0,    Energy: 86.769547 kcal/mol
thread: 6,  step: 10000,     T: 63.0,    Energy: 88.839500 kcal/mol
thread: 15,  step: 10000,     T:  0.0,    Energy: 135.849304 kcal/mol
thread: 5,  step: 10000,     T: 55.0,    Energy: 145.431717 kcal/mol
thread: 8,  step: 10000,     T: 78.0,    Energy: 98.485771 kcal/mol
thread: 2,  step: 11000,     T: 37.0,    Energy: 73.351105 kcal/mol
thread: 13,  step: 10000,     T:120.0,    Energy: 91.320465 kcal/mol
thread: 11,  step: 14000,     T:102.0,    Energy: 71.383011 kcal/mol
thread: 0,  step: 10000,     T: 25.0,    Energy: 101.696098 kcal/mol
thread: 7,  step: 11000,     T: 71.0,    Energy: 76.030930 kcal/mol
thread: 12,  step: 11000,     T:110.0,    Energy: 73.751434 kcal/mol
thread: 3,  step: 10000,     T: 43.0,    Energy: 102.120079 kcal/mol
thread: 6,  step: 11000,     T: 63.0,    Energy: 73.478821 kcal/mol
thread: 9,  step: 10000,     T: 86.0,    Energy: 105.285194 kcal/mol
thread: 15,  step: 11000,     T:  0.0,    Energy: 91.685753 kcal/mol
thread: 10,  step: 10000,     T: 94.0,    Energy: 93.131683 kcal/mol
thread: 14,  step: 11000,     T:130.0,    Energy: 69.045692 kcal/mol
thread: 1,  step: 10000,     T: 31.0,    Energy: 101.578865 kcal/mol
thread: 4,  step: 13000,     T: 49.0,    Energy: 93.126785 kcal/mol
thread: 12,  step: 12000,     T:110.0,    Energy: 71.535446 kcal/mol
thread: 5,  step: 11000,     T: 55.0,    Energy: 84.617455 kcal/mol
thread: 8,  step: 11000,     T: 78.0,    Energy: 75.818176 kcal/mol
thread: 7,  step: 12000,     T: 71.0,    Energy: 69.272224 kcal/mol
thread: 3,  step: 11000,     T: 43.0,    Energy: 69.982544 kcal/mol
thread: 2,  step: 12000,     T: 37.0,    Energy: 73.230125 kcal/mol
thread: 6,  step: 12000,     T: 63.0,    Energy: 69.783722 kcal/mol
thread: 13,  step: 11000,     T:120.0,    Energy: 68.273758 kcal/mol
thread: 11,  step: 15000,     T:102.0,    Energy: 70.960846 kcal/mol
thread: 0,  step: 11000,     T: 25.0,    Energy: 82.418228 kcal/mol
thread: 15,  step: 12000,     T:  0.0,    Energy: 88.744247 kcal/mol
thread: 9,  step: 11000,     T: 86.0,    Energy: 77.090866 kcal/mol
thread: 12,  step: 13000,     T:110.0,    Energy: 75.814560 kcal/mol
thread: 10,  step: 11000,     T: 94.0,    Energy: 78.023613 kcal/mol
thread: 14,  step: 12000,     T:130.0,    Energy: 79.050545 kcal/mol
thread: 1,  step: 11000,     T: 31.0,    Energy: 80.936958 kcal/mol
thread: 3,  step: 12000,     T: 43.0,    Energy: 79.517426 kcal/mol
thread: 4,  step: 14000,     T: 49.0,    Energy: 83.585503 kcal/mol
thread: 6,  step: 13000,     T: 63.0,    Energy: 80.071869 kcal/mol
