CG beads number:   49,  the thread number:   16
thread:  13,  CNa = 1000.000000,  CMg = 0.000000, t0 = 120.000000
thread:  1,  CNa = 1000.000000,  CMg = 0.000000, t0 = 31.000000
thread:  3,  CNa = 1000.000000,  CMg = 0.000000, t0 = 43.000000
thread:  14,  CNa = 1000.000000,  CMg = 0.000000, t0 = 130.000000
thread:  9,  CNa = 1000.000000,  CMg = 0.000000, t0 = 86.000000
thread:  7,  CNa = 1000.000000,  CMg = 0.000000, t0 = 71.000000
thread:  12,  CNa = 1000.000000,  CMg = 0.000000, t0 = 110.000000
thread:  4,  CNa = 1000.000000,  CMg = 0.000000, t0 = 49.000000
thread:  5,  CNa = 1000.000000,  CMg = 0.000000, t0 = 55.000000
thread:  6,  CNa = 1000.000000,  CMg = 0.000000, t0 = 63.000000
thread:  8,  CNa = 1000.000000,  CMg = 0.000000, t0 = 78.000000
thread:  2,  CNa = 1000.000000,  CMg = 0.000000, t0 = 37.000000
thread:  10,  CNa = 1000.000000,  CMg = 0.000000, t0 = 94.000000
thread:  0,  CNa = 1000.000000,  CMg = 0.000000, t0 = 25.000000
thread:  11,  CNa = 1000.000000,  CMg = 0.000000, t0 = 102.000000
thread:  15,  CNa = 1000.000000,  CMg = 0.000000, t0 = 0.000000
thread: 15,  step:  1000,     T:  0.0,    Energy: 152.218735 kcal/mol
thread: 14,  step:  1000,     T:130.0,    Energy: 143.415604 kcal/mol
thread: 2,  step:  1000,     T: 37.0,    Energy: 142.626907 kcal/mol
thread: 7,  step:  1000,     T: 71.0,    Energy: 132.061874 kcal/mol
thread: 4,  step:  1000,     T: 49.0,    Energy: 126.645111 kcal/mol
thread: 8,  step:  1000,     T: 78.0,    Energy: 149.830765 kcal/mol
thread: 6,  step:  1000,     T: 63.0,    Energy: 152.190475 kcal/mol
thread: 10,  step:  1000,     T: 94.0,    Energy: 163.267502 kcal/mol
thread: 9,  step:  1000,     T: 86.0,    Energy: 141.965927 kcal/mol
thread: 1,  step:  1000,     T: 31.0,    Energy: 151.679977 kcal/mol
thread: 13,  step:  1000,     T:120.0,    Energy: 129.923080 kcal/mol
thread: 3,  step:  1000,     T: 43.0,    Energy: 149.782623 kcal/mol
thread: 12,  step:  1000,     T:110.0,    Energy: 162.749771 kcal/mol
thread: 11,  step:  1000,     T:102.0,    Energy: 176.646805 kcal/mol
thread: 5,  step:  1000,     T: 55.0,    Energy: 151.565826 kcal/mol
thread: 0,  step:  1000,     T: 25.0,    Energy: 157.117142 kcal/mol
thread: 14,  step:  2000,     T:130.0,    Energy: 135.608536 kcal/mol
thread: 15,  step:  2000,     T:  0.0,    Energy: 149.930450 kcal/mol
thread: 7,  step:  2000,     T: 71.0,    Energy: 149.961197 kcal/mol
thread: 2,  step:  2000,     T: 37.0,    Energy: 165.084015 kcal/mol
thread: 9,  step:  2000,     T: 86.0,    Energy: 176.423691 kcal/mol
thread: 6,  step:  2000,     T: 63.0,    Energy: 143.023621 kcal/mol
thread: 4,  step:  2000,     T: 49.0,    Energy: 143.291931 kcal/mol
thread: 3,  step:  2000,     T: 43.0,    Energy: 145.166321 kcal/mol
thread: 8,  step:  2000,     T: 78.0,    Energy: 139.035873 kcal/mol
thread: 10,  step:  2000,     T: 94.0,    Energy: 127.659012 kcal/mol
thread: 1,  step:  2000,     T: 31.0,    Energy: 129.522339 kcal/mol
thread: 12,  step:  2000,     T:110.0,    Energy: 130.447327 kcal/mol
thread: 11,  step:  2000,     T:102.0,    Energy: 153.506607 kcal/mol
thread: 13,  step:  2000,     T:120.0,    Energy: 155.009140 kcal/mol
thread: 5,  step:  2000,     T: 55.0,    Energy: 138.268326 kcal/mol
thread: 0,  step:  2000,     T: 25.0,    Energy: 138.111084 kcal/mol
thread: 14,  step:  3000,     T:130.0,    Energy: 120.835320 kcal/mol
thread: 15,  step:  3000,     T:  0.0,    Energy: 149.396011 kcal/mol
thread: 9,  step:  3000,     T: 86.0,    Energy: 145.907883 kcal/mol
thread: 6,  step:  3000,     T: 63.0,    Energy: 148.192841 kcal/mol
thread: 7,  step:  3000,     T: 71.0,    Energy: 143.080811 kcal/mol
thread: 2,  step:  3000,     T: 37.0,    Energy: 142.493851 kcal/mol
thread: 15,  step:  4000,     T:  0.0,    Energy: 142.837524 kcal/mol
thread: 14,  step:  4000,     T:130.0,    Energy: 137.232239 kcal/mol
thread: 4,  step:  3000,     T: 49.0,    Energy: 137.701202 kcal/mol
thread: 3,  step:  3000,     T: 43.0,    Energy: 151.670868 kcal/mol
thread: 5,  step:  3000,     T: 55.0,    Energy: 158.540695 kcal/mol
thread: 0,  step:  3000,     T: 25.0,    Energy: 138.269943 kcal/mol
thread: 8,  step:  3000,     T: 78.0,    Energy: 145.640549 kcal/mol
thread: 10,  step:  3000,     T: 94.0,    Energy: 162.752472 kcal/mol
thread: 1,  step:  3000,     T: 31.0,    Energy: 149.349686 kcal/mol
thread: 11,  step:  3000,     T:102.0,    Energy: 245.235504 kcal/mol
thread: 13,  step:  3000,     T:120.0,    Energy: 140.598724 kcal/mol
thread: 12,  step:  3000,     T:110.0,    Energy: 140.246628 kcal/mol
thread: 9,  step:  4000,     T: 86.0,    Energy: 138.432770 kcal/mol
thread: 6,  step:  4000,     T: 63.0,    Energy: 142.674042 kcal/mol
thread: 7,  step:  4000,     T: 71.0,    Energy: 140.403091 kcal/mol
thread: 5,  step:  4000,     T: 55.0,    Energy: 123.912369 kcal/mol
thread: 0,  step:  4000,     T: 25.0,    Energy: 126.244026 kcal/mol
thread: 2,  step:  4000,     T: 37.0,    Energy: 149.098633 kcal/mol
thread: 9,  step:  5000,     T: 86.0,    Energy: 147.199417 kcal/mol
thread: 15,  step:  5000,     T:  0.0,    Energy: 138.304825 kcal/mol
thread: 3,  step:  4000,     T: 43.0,    Energy: 150.745117 kcal/mol
thread: 14,  step:  5000,     T:130.0,    Energy: 145.818359 kcal/mol
thread: 4,  step:  4000,     T: 49.0,    Energy: 162.732910 kcal/mol
thread: 8,  step:  4000,     T: 78.0,    Energy: 198.191727 kcal/mol
thread: 10,  step:  4000,     T: 94.0,    Energy: 120.106895 kcal/mol
thread: 1,  step:  4000,     T: 31.0,    Energy: 134.958618 kcal/mol
thread: 11,  step:  4000,     T:102.0,    Energy: 149.627319 kcal/mol
thread: 13,  step:  4000,     T:120.0,    Energy: 137.296692 kcal/mol
thread: 12,  step:  4000,     T:110.0,    Energy: 135.380753 kcal/mol
thread: 6,  step:  5000,     T: 63.0,    Energy: 138.402344 kcal/mol
thread: 9,  step:  6000,     T: 86.0,    Energy: 144.398483 kcal/mol
thread: 5,  step:  5000,     T: 55.0,    Energy: 145.571503 kcal/mol
thread: 0,  step:  5000,     T: 25.0,    Energy: 125.638039 kcal/mol
thread: 3,  step:  5000,     T: 43.0,    Energy: 142.139206 kcal/mol
thread: 7,  step:  5000,     T: 71.0,    Energy: 156.151184 kcal/mol
thread: 2,  step:  5000,     T: 37.0,    Energy: 190.110062 kcal/mol
thread: 15,  step:  6000,     T:  0.0,    Energy: 151.058517 kcal/mol
thread: 14,  step:  6000,     T:130.0,    Energy: 147.957947 kcal/mol
thread: 4,  step:  5000,     T: 49.0,    Energy: 141.153061 kcal/mol
thread: 6,  step:  6000,     T: 63.0,    Energy: 158.475967 kcal/mol
thread: 10,  step:  5000,     T: 94.0,    Energy: 115.498428 kcal/mol
